University,Canton
Université de Neuchâtel - NE,NE
Pädagogische Hochschule Schwyz - PHSZ,SZ
"Haute école pédagogique BE, JU, NE - HEPBEJUNE",BE
Université de Lausanne - LA,VD
Weitere Spitäler - ASPIT,NotFound
Inst. de Hautes Etudes Internat. et du Dév - IHEID,GE
Franklin University Switzerland - FUS,TI
Allergie- und Asthmaforschung - SIAF,ZH
Pädagogische Hochschule St. Gallen - PHSG,SG
Fachhochschule Ostschweiz - FHO,SG
Université de Genève - GE,GE
Facoltà di Teologia di Lugano - FTL,TI
Physikal.-Meteorolog. Observatorium Davos - PMOD,GR
Instituto Ricerche Solari Locarno - IRSOL,TI
Inst. universit. romand de Santé au Travail - IST,VD
Ente Ospedaliero Cantonale - EOC,TI
Centre de rech. sur l'environnement alpin - CREALP,VS
Friedrich Miescher Institute - FMI,BS
Biotechnologie Institut Thurgau - BITG,TG
Forschungsinstitut für Opthalmologie - IRO,VS
Kantonsspital St. Gallen - KSPSG,SG
AO Research Institute - AORI,GR
Pädagogische Hochschule Luzern - PHLU,LU
Universität Zürich - ZH,ZH
Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,VS
Université de Fribourg - FR,FR
Berner Fachhochschule - BFH,BE
Idiap Research Institute - IDIAP,VS
Forschungskommission SAGW,LU
Pädagogische Hochschule Schaffhausen - PHSH,SH
Universität St. Gallen - SG,SG
Pädagogische Hochschule Bern - PHBern,BE
Inst. Suisse de Spéléologie et Karstologie - ISSKA,NE
Eidg. Anstalt für Wasserversorgung - EAWAG,ZH
Pädagogische Hochschule Graubünden - PHGR,GR
Pädagogische Hochschule Zug - PHZG,ZG
Eidg. Material und Prüfungsanstalt - EMPA,ZH
Staatsunabh. Theologische Hochschule Basel - STHB,BS
Universität Bern - BE,BE
Eidg. Hochschulinstitut für Berufsbildung - EHB,BE
Fachhochschule Kalaidos - FHKD,ZH
Universität Luzern - LU,LU
Haute école pédagogique fribourgeoise - HEPFR,FR
Forschungsinstitut für biologischen Landbau - FIBL,AG
Schweizer Kompetenzzentrum Sozialwissensch. - FORS,VD
Swiss Institute of Bioinformatics - SIB,VD
Schweiz. Hochschule für Logopädie Rorschach - SHLR,SG
Zürcher Fachhochschule (ohne PH) - ZFH,ZH
Pädagogische Hochschule Wallis - PHVS,VS
SUP della Svizzera italiana - SUPSI,TI
Nicht zuteilbar - NA,NotFound
Paul Scherrer Institut - PSI,AG
Pädagogische Hochschule Thurgau - PHTG,TG
Forschungsanstalten Agroscope - AGS,BE
Universität Basel - BS,BS
Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,ZH
Interkant. Hochschule für Heilpädagogik ZH - HfH,ZH
Weitere Institute - FINST,BS
ETH Zürich - ETHZ,ZH
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",ZH
Pädagogische Hochschule Nordwestschweiz - PHFHNW,BS
Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,TI
HES de Suisse occidentale - HES-SO,SO
Institut Universitaire Kurt Bösch - IUKB,VS
Fachhochschule Nordwestschweiz (ohne PH) - FHNW,SO
Firmen/Privatwirtschaft - FP,NotFound
Schweizer Paraplegiker Forschung - SPF,LU
EPF Lausanne - EPFL,VD
Haute école pédagogique du canton de Vaud - HEPL,VD
Swiss Center for Electronics and Microtech. - CSEM,NE
Istituto Svizzero di Roma - ISR,TI
"NPO (Biblioth., Museen, Verwalt.) - NPO",NotFound
Hochschule Luzern - HSLU,LU
Institut für Kulturforschung Graubünden - IKG,GR
Università della Svizzera italiana - USI,TI
Robert Walser-Stiftung Bern - RWS,BE
Pädagogische Hochschule Zürich - PHZFH,ZH